,theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2,thetadd3
5154,0.547606,1.266301,1.578501,1.007854,0.792094,1.169115,0.171604,0.555084,9.710377
3855,-0.676615,-1.816652,0.038537,-0.738932,-1.13542,0.280137,-0.112439,0.235226,-7.704028
2614,1.54924,-0.703657,-0.159507,-0.433528,0.92753,0.416275,-0.197372,-0.427274,-0.625283
7569,1.298387,1.735345,-1.865496,0.96368,1.035279,1.795798,0.020432,0.204205,-6.421434
4434,0.720967,0.804982,-0.874169,-0.812056,-1.147753,0.349452,-0.089422,-0.507996,4.375233
5103,0.118653,-0.089923,0.392034,-0.888873,0.876857,0.752515,-0.170492,0.135563,4.724026
4450,0.931125,0.520524,-1.515455,-0.732558,0.430934,0.711074,0.128389,0.240061,3.782213
2287,0.732613,0.504041,0.42355,1.018117,-0.135793,-1.472061,0.314854,-0.244968,8.799982
5473,0.486221,-1.246849,1.137186,-0.761517,0.032643,-1.774064,-0.146406,0.558132,2.700853
181,-1.266594,1.039639,-0.32339,1.003155,0.985366,-0.17295,-0.05333,0.090663,9.09884
5662,0.891119,-0.825539,-1.561789,0.902031,1.62096,-1.679526,0.414961,-0.158204,1.575964
1558,-1.181284,-1.481695,1.185387,-1.178722,0.104217,-1.428765,0.344855,-0.018535,2.198124
7620,-0.559743,-1.669421,1.489912,1.205319,-1.708716,0.799281,0.423369,-0.445118,-7.009309
4870,-0.143895,1.848023,-0.576515,-0.808631,-0.132482,1.393603,-0.055287,-0.416096,2.684564
6683,-0.348544,0.467878,-0.416533,0.062546,-0.602385,1.690642,0.254098,-0.181701,4.990605
2456,-1.428361,0.336502,0.726064,-0.251283,-1.014269,0.714915,0.277765,0.391031,10.355994
866,0.748867,-1.519579,1.582565,1.453286,0.117583,0.789696,-0.45659,0.091104,-6.127241
2879,0.91142,1.090669,1.562159,1.551547,0.3723,-0.80175,-0.427408,-0.25109,6.795666
1103,-1.857881,0.765239,-1.560629,1.541521,1.510049,0.354427,0.124729,-0.073004,-2.086171
6267,-0.368651,1.814449,0.630179,1.729847,-0.014068,1.057719,-0.581589,0.425846,4.739229
5812,-1.10811,-0.645738,0.653715,1.472987,-0.507322,0.976317,-0.467817,-0.195806,-1.453655
7149,1.251395,-0.140321,1.583168,0.27081,1.223969,-1.163115,-0.470292,0.201629,9.474976
3552,-0.358076,-1.407587,-1.125477,1.523306,0.735747,0.39265,-0.588555,-0.246189,-5.567965
5018,1.520543,-0.454738,-1.171646,-1.609045,-1.644833,0.052072,0.175674,0.552833,-4.68668
41,0.162765,-1.372412,-1.812686,-1.158412,-1.605621,-0.64874,-0.250536,0.037657,-3.226728
6311,-0.269339,0.882078,1.787721,0.031707,1.345406,0.319312,-0.534185,0.348571,-1.75008
1507,1.379932,0.019574,0.996457,1.515509,1.633425,0.48623,-0.349579,-0.171016,7.637294
8131,-0.767622,-0.779959,-0.796267,0.321587,-1.133585,0.965433,0.106175,0.080529,-6.694488
4818,-1.24097,-1.83248,1.683247,0.919434,0.065997,0.862243,0.055128,0.1311,0.657855
217,-1.4365,-0.750862,-1.851915,-0.741967,0.633605,-1.006057,-0.24032,0.142072,-1.61868
185,1.691062,0.325743,0.85394,0.117639,1.71759,1.324776,0.129238,0.098153,8.078807
4727,-0.299033,-0.554765,-0.937017,-1.524647,-0.650773,-1.03178,0.150226,0.046859,-4.033226
7191,-1.734182,-1.213646,1.235143,-1.858731,1.567227,0.012938,-0.381801,-0.532123,1.064486
2423,1.465971,-1.565974,-1.575922,0.88119,-1.825766,1.428826,-0.017566,-0.029011,-4.031737
3889,-0.832492,-1.546145,-0.057781,1.504004,0.540293,-1.004311,-0.496584,-0.081265,-7.711232
2799,-1.76946,1.508124,-1.838088,1.679093,-1.033718,1.824313,0.17015,0.106852,0.495368
3303,0.513334,-1.722714,-0.734036,-1.78602,-1.612049,0.641203,-0.46884,-0.585734,-7.378546
683,0.025593,0.375455,-0.554009,0.44851,-1.720892,-0.264626,0.295711,-0.384798,-0.859545
5858,0.393103,-1.771915,1.729228,0.896079,-0.402226,-0.768242,0.030687,-0.251096,8.295315
7297,1.348253,-0.844212,1.269341,-0.110713,1.576698,0.863586,0.043623,-0.031411,0.473069
87,-1.682965,0.046752,1.614451,-1.7432,1.78406,-1.177346,0.194296,0.337999,8.617135
4078,-0.975941,0.246031,-0.557598,0.448796,-0.680796,-0.460993,-0.235108,0.14051,3.475083
6064,0.113822,1.655213,0.992373,0.720328,1.369452,1.071149,0.472219,-0.214435,6.190847
2554,1.181022,0.858236,0.688991,-1.290178,0.501819,0.777627,-0.223272,-0.139305,9.881228
5121,-0.429644,-1.643128,-1.460291,-0.99366,0.261471,-1.169368,-0.324039,-0.516256,2.956062
7864,1.094645,0.532768,0.69654,1.170469,0.672325,1.334728,0.574379,-0.415158,8.532857
1074,0.841138,-0.16845,0.056479,-0.781581,-1.654761,-0.926971,0.460575,-0.322312,8.131188
6932,-0.194279,-0.499614,-1.426073,1.092039,-1.802564,-0.684731,0.402297,-0.590306,-1.087969
7281,-0.504699,-0.183485,-0.045363,-0.888104,-1.289193,-1.782461,0.527683,-0.427129,-5.728424
257,-0.467988,-1.431377,-1.356414,-0.592429,-0.621542,0.163635,-0.577658,0.499042,-1.453404
3922,-0.063563,-1.411675,1.795585,0.251874,-0.36102,-1.868386,0.4437,0.460932,-4.994575
3396,1.371981,-1.661667,-0.129333,1.533415,0.994663,1.514545,0.166271,-0.27872,-7.720692
7882,-0.777471,-0.444596,-0.365211,-0.687955,-0.148231,0.592633,0.087396,0.060012,-4.768117
3755,0.463723,1.392791,1.264714,1.284581,-0.33278,1.517218,0.066851,0.366524,-0.310629
1995,0.392231,-1.349623,0.438434,-1.410956,-1.203472,-1.176153,0.577186,-0.040427,-0.712206
7311,0.847518,1.502646,0.333407,1.478799,-0.855548,-0.757502,-0.110142,0.442242,7.196796
2579,-1.737373,1.705271,1.624345,-1.327845,0.778023,-1.593516,-0.246604,0.132172,-0.658563
5614,1.005677,-1.870632,1.342222,-0.419269,-0.689676,1.084132,0.328275,-0.276409,-2.602731
5514,-0.776506,0.697718,-1.647881,1.598838,-0.259886,1.429683,-0.235073,-0.475912,-2.183521
4700,-0.652884,1.193014,-1.164965,1.35276,-0.501261,1.065581,-0.515556,0.251329,0.360406
737,1.849502,1.666581,-0.210316,1.38763,1.223079,-1.035693,-0.38755,0.043769,5.542443
4546,-1.024266,-1.429593,-1.527876,1.62385,1.654506,0.424451,0.344131,-0.192104,10.319599
6204,-1.049679,1.233746,1.051266,-0.948057,1.42395,0.92457,-0.104032,-0.05969,0.799418
543,-1.252833,-1.408912,-0.770918,0.359292,-0.770127,-1.416351,-0.442432,0.450885,-9.080779
7594,-1.647422,1.774056,0.337768,-0.614838,-0.249373,0.921672,-0.005305,-0.358855,8.640428
2926,1.349105,-1.61525,-0.367788,1.23534,1.455977,0.107551,0.580025,-0.322916,-6.930466
5589,-0.60649,0.55542,0.636054,-1.310424,-0.471861,1.327993,0.544401,-0.247687,9.497999
6548,-0.165282,0.52217,-0.235752,-0.111827,1.701676,1.517706,0.276873,-0.191278,4.625556
7756,0.917398,-0.220655,1.039703,0.752205,1.795088,-0.55268,0.053619,-0.017762,-5.761518
7036,-0.303308,-0.773359,0.810828,-0.636726,1.318641,-0.90758,-0.204576,-0.31062,8.028467
7931,0.136821,-0.09012,0.85544,-1.059664,-0.712698,-1.299577,0.278314,0.016602,2.565135
4774,0.71071,1.821029,-1.871292,1.560454,-0.720606,1.498623,0.184838,-0.221552,3.887827
4335,0.371771,1.607207,0.922361,0.250308,-0.3023,1.087336,-0.531713,-0.100706,6.601154
6151,-0.036074,0.663227,-0.776076,0.380031,0.946737,-0.982942,-0.177954,-0.46699,2.243743
2918,0.80959,1.165216,-0.909486,1.261024,-0.412657,1.102768,0.424511,-0.435996,4.717692
381,-1.356126,0.475578,0.821051,1.52188,-0.605448,-0.782054,0.539765,-0.17123,0.500343
56,-0.972798,0.2865,1.033993,-0.963517,1.700162,-1.300377,-0.403675,0.241032,8.839289
69,0.563959,0.899165,-1.311218,1.253034,1.024195,0.230256,-0.569122,-0.037778,0.693249
3437,0.274485,-1.104864,1.129491,1.852451,-1.558413,1.093855,-0.457424,0.4728,-4.520479
711,-1.704838,1.881076,0.765661,1.753689,1.091477,0.061972,0.340728,0.217776,9.022961
7600,0.385111,-0.384778,-1.560449,0.809386,1.506767,1.743141,0.315449,0.145392,-2.566888
1009,-1.719202,1.749833,0.364241,-0.543817,-1.670129,0.908065,0.395505,0.45323,4.724523
3024,1.383854,1.850169,1.553711,-0.95912,0.20441,1.12191,-0.365678,0.449397,3.751966
2034,-0.554413,1.19853,1.049864,1.882808,-0.278344,0.324431,0.452485,0.510325,8.695367
4708,1.210207,1.274048,-0.176377,-1.224619,1.543917,0.321161,-0.242681,0.055026,8.822208
5843,-0.671576,-0.061733,-0.813654,-1.622213,-0.537758,-1.625357,-0.189475,0.299249,-2.833963
3978,0.540206,1.299511,1.785006,-0.362593,1.844055,0.595532,-0.002991,0.125844,4.550861
4866,-0.809615,-1.597371,-1.480573,1.185067,0.983866,1.001874,-0.538754,0.361004,2.118849
3651,-0.831655,1.19772,-1.246679,0.223184,-0.006768,-0.65664,-0.517279,0.099289,0.16828
445,-1.607438,-1.025416,1.863488,-0.784276,-1.7215,0.825264,0.224843,0.129399,10.331553
3268,1.024785,-1.159579,1.401028,0.212303,1.837344,0.88946,0.462158,-0.117506,-2.827168
6780,-0.637426,0.863398,0.745585,-0.139864,1.733013,0.406658,-0.045882,0.458528,9.356626
7904,0.41228,0.099766,-0.843469,-1.312755,1.824104,0.789408,0.401584,-0.579311,-0.402185
2321,1.285488,-0.164623,0.298067,-0.597994,0.092036,1.182057,-0.191888,0.542462,1.876706
4668,-0.892441,1.228456,-1.146249,-0.75999,-0.6871,-0.8566,0.131041,0.402703,7.368338
2069,-0.802504,1.061351,-1.09306,-0.290333,-1.366928,-0.128588,-0.322094,-0.234371,0.599835
2057,0.413973,-1.605528,0.907398,1.346771,0.630645,-1.734346,-0.064275,-0.263301,-3.668273
6704,0.881639,-1.814033,-1.181278,-1.379992,-1.036011,0.975954,-0.006421,0.083611,3.954273
3693,1.047634,-1.67456,1.821896,1.384538,-1.725646,-1.007863,-0.300602,-0.21197,4.087176
2357,1.445645,-0.115158,-1.48978,1.020812,-0.077787,0.789961,-0.240424,-0.409207,-1.796215
7499,-1.774846,1.47154,1.553647,1.735609,-1.184945,1.070843,0.030973,-0.235681,-6.770274
8025,-1.613576,1.371421,0.233171,-1.8074,0.978854,-0.28634,0.530186,-0.359855,8.477663
19,0.116643,0.073194,1.18038,1.377298,0.988155,1.470639,0.475576,-0.188598,8.644664
2963,0.748237,-0.805196,1.052943,0.848451,-1.665301,-0.885371,-0.18842,0.029911,4.591653
2473,0.843758,-1.365251,1.675385,0.720806,1.857568,1.511384,0.054758,-0.077161,2.871455
2903,1.875807,-1.074522,-1.624006,-0.50665,0.964028,-0.664085,0.457816,0.108666,0.36669
5250,-0.963347,0.802447,1.749716,-1.602573,1.565465,0.567755,0.197313,-0.560671,6.957652
1775,-1.80593,-0.703185,0.235433,-1.487441,-1.144004,-0.724958,-0.006942,-0.268997,6.000166
3101,0.981188,1.233487,0.474808,-0.808982,1.515868,0.134458,0.526556,-0.175727,7.524757
1732,0.537264,0.864529,0.894765,0.145204,1.319372,0.068303,-0.591823,0.023143,8.178892
751,1.606648,-0.946074,0.819117,-0.814647,0.54629,1.77039,-0.307852,0.330803,-1.265529
3214,0.331132,0.940918,-0.761291,0.054678,-0.882358,1.03297,0.216078,0.419834,8.150563
7957,1.873225,0.762412,-0.061666,0.302184,0.74382,0.358275,0.30984,-0.520493,6.976072
2641,-1.25437,-0.859853,-1.4852,-1.17881,-1.378926,1.807574,-0.577148,-0.528332,-4.372116
476,-1.430648,-0.403249,0.889889,1.120297,-1.868043,-0.370704,0.393223,0.494012,7.048782
6678,0.313402,0.777944,0.854938,1.809714,0.222321,0.572901,0.127187,0.426916,9.612446
7885,-0.401409,1.655644,0.689497,-0.334442,-0.029059,1.685676,0.089131,0.419383,9.804007
6810,0.416568,0.530322,1.055962,-1.187946,-0.361901,-1.597365,-0.440261,-0.259604,9.913537
7122,0.227054,0.94553,1.344951,0.20089,-1.483252,1.406353,-0.242807,0.346161,8.004354
468,1.328087,-0.481594,-0.148327,-1.014076,0.192411,-0.729158,0.32405,-0.492952,-1.07919
4128,0.547749,-0.107119,1.673896,-1.681261,-1.476204,-0.768274,-0.139255,-0.462627,9.730061
4453,0.203464,0.314829,-1.629144,-0.167467,1.502219,0.705176,-0.224658,0.578943,-3.539406
308,0.477873,1.7057,1.290489,0.954972,1.695789,0.594427,0.083589,-0.322585,-4.81848
7605,-0.369302,-1.585606,0.225897,0.358411,-0.506099,-1.081166,-0.057122,-0.043328,-2.799063
4053,0.680073,-0.386751,-0.802074,0.749034,1.274901,-0.911124,0.038852,0.193362,-2.280804
2002,1.381875,-1.245633,-1.039731,-1.224162,1.679039,1.824143,0.465368,-0.155914,-2.38091
1790,0.656249,-1.187454,0.376238,1.297899,1.073416,1.882226,0.399066,0.302753,-6.993491
1163,1.119056,-0.117085,0.050293,0.817803,-0.281732,-0.067582,-0.354795,-0.235618,0.291398
7301,0.292835,-1.821824,-0.177766,1.827708,1.057939,1.883249,-0.132697,0.566102,-9.194691
5558,-1.381775,-0.841535,1.019642,-0.893243,-0.951544,-0.640952,-0.58624,0.27063,4.93894
4071,-0.829893,0.656977,-0.262997,-1.859586,-1.499154,1.806673,0.599764,0.236501,7.505968
4267,1.489184,0.280626,0.329934,-0.34263,1.843878,1.381306,0.160892,0.512374,5.799453
7971,0.990923,-1.017293,-1.093512,-0.334433,0.123686,1.576836,-0.188366,-0.262537,-6.474045
2917,1.546061,-1.359419,1.683162,-0.504257,-0.284195,0.019246,-0.238651,0.590092,-7.50465
6837,0.536336,0.335942,-1.149394,-0.836042,-0.901063,-0.424534,0.414687,0.049141,0.817589
7454,-0.364898,0.804624,0.648845,-1.213637,1.391134,-0.198892,0.36127,-0.135985,6.818873
6063,0.789425,1.54117,-0.611542,-1.400604,-0.628801,-1.203277,-0.531599,-0.580537,5.45002
80,1.429032,-0.356816,0.915412,0.32682,0.104318,0.268346,0.409144,0.483225,5.193297
1755,-1.008173,1.394186,-1.685763,-1.741322,-0.577011,-1.61708,-0.30922,0.132679,-4.283546
641,1.762291,-1.373187,0.235404,1.798504,0.309904,-1.456698,-0.292678,-0.246191,-7.105403
4639,-0.06867,-0.543414,1.337076,-0.208638,-0.566714,1.803503,0.439452,-0.126356,4.574932
3105,1.203224,0.774717,-0.610492,1.16431,-1.059497,-1.682788,-0.237427,-0.427953,-1.125253
1701,-0.689035,0.558019,-0.917311,1.68763,-0.817933,1.873989,-0.469923,0.400376,8.079681
1346,0.122598,-1.641401,1.19141,-1.73505,-0.718095,-1.53222,0.075614,0.037753,3.920043
5733,-1.805041,-0.845831,0.45239,-0.585664,-0.018733,1.823795,-0.199239,0.586982,-2.005461
7166,-1.251534,1.566142,0.625275,-1.521055,-0.604501,0.064269,-0.57303,0.277568,7.039444
4446,1.233448,-0.178869,-1.637217,-0.127486,-1.349654,-0.072941,-0.224654,-0.56481,-3.181733
6128,-1.199566,0.372436,1.472622,0.883009,-1.406101,1.230799,0.170079,0.120481,9.145071
4301,1.38373,-0.234959,-1.865696,1.364182,-0.788861,0.392677,-0.443266,-0.37869,1.675739
5465,1.567434,-0.277452,0.244011,-0.573722,0.890073,0.445608,-0.470773,0.520317,-4.607241
2080,-1.755138,0.953619,1.574466,1.040222,-1.839829,-1.193746,0.056082,0.578234,6.670711
6282,0.848853,1.332816,-0.168535,-1.369868,-0.522558,1.255268,0.276943,-0.219295,9.15742
2689,-0.949731,-0.325675,0.294974,0.189497,-0.695016,1.827387,-0.181768,0.226706,7.981478
5553,-0.779232,0.114853,0.140062,1.597539,0.530546,1.048846,-0.045498,-0.285656,6.301297
2650,-0.148806,-1.537096,1.225445,1.03059,-1.611484,-1.17645,0.18873,0.387016,-6.366409
4480,-0.944631,-1.319685,-1.561443,-0.819815,0.389587,-0.539984,-0.422383,0.209009,-3.343514
5454,1.128964,0.536668,-1.614241,1.49869,1.699919,-1.621708,0.129299,-0.066644,-1.816686
5638,-1.194259,-0.896652,-1.699473,1.571717,0.086129,-0.083743,-0.411791,-0.575467,-4.575727
927,0.370727,-0.853997,-1.077309,0.55153,-0.641327,-0.610307,0.15725,0.505552,-5.433988
118,-1.355186,1.188038,-1.8717,-1.521751,-0.995217,0.485211,0.197633,0.021229,-0.730886
3257,-1.124504,-0.970074,0.830596,-0.153228,-0.454764,-1.602061,-0.360079,-0.248095,0.297428
6651,0.902637,0.499618,1.486351,1.66641,0.677898,0.768497,0.129862,-0.209353,6.186206
3668,1.346397,-1.874625,-1.670007,-0.813954,0.889415,0.706858,0.371823,-0.376054,4.875998
6920,-1.825905,-0.905086,-0.182063,1.236617,0.300395,0.821398,-0.055311,0.381989,-5.922623
2932,0.153722,1.214559,-0.97381,-1.636184,-1.615198,0.500122,-0.428088,0.326841,5.377975
1672,-0.058979,0.231343,1.401667,-0.362435,0.739689,-1.220079,-0.421044,-0.079514,8.951786
3473,0.692144,-1.081738,1.507671,1.857599,-1.731484,-1.11159,0.376283,0.195564,7.054788
5505,-1.665568,-1.604691,-0.098379,1.539396,-0.269955,1.83775,0.059703,0.225958,-7.773391
7501,-1.675957,0.957998,-0.216924,-0.339963,1.426179,0.68863,0.056082,0.568843,7.371564
1328,-1.269296,0.863939,-1.470411,-1.435594,-0.592383,0.154491,-0.299629,0.539763,5.72227
5113,-1.132057,0.267523,-1.244798,1.68233,0.578645,-1.080842,0.475571,-0.281951,-3.923747
6259,1.472175,0.912524,0.788663,0.053292,-1.563563,1.248545,0.30694,-0.051447,9.561848
1858,-0.618265,-1.303266,-0.812239,-0.453266,0.947559,1.52577,0.216203,0.116011,-1.620027
3113,0.902187,0.467143,-1.44933,-1.497019,-0.002223,0.341818,-0.13209,-0.040894,-3.614958
7533,-0.181942,-0.500891,-0.268868,1.262531,-1.471794,1.721741,-0.171667,-0.414386,-1.629651
7558,0.416051,-0.608874,-1.813494,0.339769,-0.915535,1.372362,0.306892,0.33659,-0.205301
1877,-1.14411,1.255816,-1.227935,-1.414834,1.477505,0.021037,-0.253935,0.520482,-1.675718
1053,1.107466,1.123257,-1.128159,1.693873,-1.438645,0.909742,-0.22923,0.525597,1.286401
5566,1.424009,-1.847875,-0.711342,-1.133289,-1.593669,0.429895,-0.531416,0.083205,-3.914099
3018,-0.845529,1.762277,-1.605626,-0.724773,-0.684843,-0.616511,0.567963,-0.245242,1.011147
3245,0.179093,1.634291,-0.040036,-1.840046,-1.069556,-1.08769,-0.161004,0.012482,6.585495
1345,0.642882,0.346795,0.305894,-0.99899,1.156292,-0.09652,-0.367476,0.236444,0.954099
3487,0.049572,0.009625,-0.343959,-1.64146,0.188515,1.654263,0.034815,-0.459682,-5.882152
3340,0.636813,0.130837,1.122157,-0.77983,1.371798,-0.961131,0.107511,-0.2579,10.902877
4671,0.626003,-0.596982,-1.747018,1.704895,-0.925418,1.153066,-0.490554,0.4659,1.385938
7264,0.613832,-1.575562,-0.612644,-1.081604,-0.002975,-0.996029,-0.591545,-0.093968,-7.188813
3979,1.143258,-0.504518,-0.900248,-1.816026,-0.742055,-0.853197,0.337098,0.403605,-3.60433
7522,-1.646778,1.291757,-0.35315,-1.550145,0.560639,1.643289,0.126076,-0.23412,9.121596
1880,-1.44174,1.660501,-0.61956,-0.450314,1.553581,0.623636,0.347429,0.0368,6.455959
2319,0.178987,-0.156468,1.639408,-0.744605,1.52751,-0.238357,0.42837,-0.378642,8.716996
2578,-0.948361,0.076504,0.257103,0.810587,-0.927107,-0.840445,0.159412,-0.370062,6.238139
2036,-0.733061,-0.493409,1.076855,-0.640182,-0.213169,-1.318601,0.502439,0.092048,2.141046
5823,-1.110896,1.532542,1.397481,0.92141,-0.651868,-0.580155,-0.535738,-0.552064,4.466496
7889,0.092121,-1.151712,1.666042,-1.729977,1.610337,0.750368,0.34196,0.517512,9.920106
5204,0.921404,-0.764664,-0.086162,-0.473483,0.454246,0.442742,-0.203823,0.346986,-3.828558
4773,0.408047,0.576362,-1.759578,1.733823,-1.053049,1.146014,0.1864,-0.378493,-3.002272
4148,-1.406655,-0.543369,-1.674417,0.465589,-1.189477,0.301725,0.177657,0.288705,2.488959
618,-1.530822,1.120623,-0.16654,-1.763653,1.092686,1.543556,0.569438,0.543004,8.279504
3939,-0.82604,1.336504,1.48657,1.582906,-0.35557,-0.755411,0.277981,0.43498,6.356556
3781,1.844622,-1.184414,-1.316546,-1.586769,-0.469533,-1.02223,-0.361753,0.425305,1.13342
5826,-0.601654,-1.10197,0.764748,1.492032,-0.868352,-1.064982,0.123234,-0.004862,1.213289
773,-0.707934,-0.405276,0.762768,-1.6246,0.814498,0.71569,-0.375769,0.058262,2.739376
3616,0.433834,0.431983,-0.506729,-0.356839,0.52834,1.667994,0.289739,0.04812,6.02898
3916,-0.501239,1.425067,0.854943,-1.867287,1.023408,-1.684674,0.474305,0.047752,9.763284
6929,-1.815834,-1.294654,0.679537,-1.856047,1.437553,-0.408727,-0.223625,-0.064549,-8.873495
2083,0.245043,1.696617,-0.570853,0.10356,-1.16899,1.555665,0.548775,0.065578,5.350525
50,-0.270832,-1.597676,0.945875,-0.396221,-1.623306,-0.047719,0.311309,0.169358,-9.685652
5632,-1.222615,1.294912,-0.114703,-1.396555,-0.430531,-1.47083,-0.299312,-0.143318,7.186499
733,0.763745,-0.277877,0.639413,-1.394469,0.698776,1.06314,-0.378017,-0.526291,9.018015
245,1.090189,1.042031,-1.59737,-1.451924,0.141527,-0.174372,-0.46196,-0.158369,-3.818683
1807,1.144686,0.885715,-1.173929,1.485583,0.064909,1.414714,0.084555,0.322967,0.640384
179,-0.853974,-0.696698,-0.061204,0.52228,1.601506,-0.6469,-0.006244,-0.544441,-1.974965
7069,-0.091841,-1.677534,0.843083,-1.407664,1.355875,-0.926464,-0.427288,0.572331,-3.925528
17,-0.781413,1.161937,0.530035,0.005658,0.847856,-0.350939,0.5347,-0.099872,6.473524
2276,0.506382,-1.693379,-1.567429,0.362249,-0.094711,-0.89769,-0.090744,0.065807,0.38245
7868,-1.521597,1.593881,-0.630739,0.161833,1.824892,-1.045923,0.083157,-0.385068,4.698061
2589,-0.597056,0.778945,-1.177903,-1.21189,0.594319,-1.539222,-0.180006,-0.16042,3.861115
3032,-0.736189,-0.281702,0.440843,1.370374,1.487471,1.637883,0.004004,0.099928,6.560297
5416,0.020145,-0.712913,-1.154881,1.189168,-1.720956,-1.344115,-0.391955,0.416894,-2.329963
3869,0.56893,1.512901,-0.725452,-0.771218,-0.903239,0.69525,-0.530248,0.516247,6.547966
2317,1.39434,0.896637,1.443903,0.764418,-0.287068,0.734269,-0.583981,-0.173899,8.033335
7941,-1.324767,-0.264891,0.239188,1.312093,-1.63042,1.022517,-0.50138,-0.297232,1.392803
3078,1.495655,-0.297368,1.041494,0.697552,-0.670473,-0.382238,-0.108314,-0.025381,-3.709043
2676,-1.336963,-1.668044,-1.750832,1.690109,-0.615231,0.68092,-0.389601,0.376467,3.129034
1402,1.381055,0.055869,0.287862,1.305584,-1.703535,1.155761,-0.470381,-0.086223,-4.148274
1511,-0.009047,-1.259578,-1.68472,0.710412,0.579594,-0.219235,-0.473335,-0.548885,1.029815
511,1.584029,-0.339308,1.121557,0.452213,0.203149,-1.2064,-0.440121,-0.309674,6.387012
321,1.603703,-1.433722,0.70189,0.614893,1.18845,1.282674,0.492739,0.258533,-4.317267
6761,-0.533533,1.537135,-0.578466,0.328909,1.285406,-1.537536,0.435248,0.01743,7.664434
1915,1.330858,0.847976,1.676596,-1.542472,1.353054,0.681785,-0.56262,0.042968,0.336616
3649,1.300653,-1.636126,-0.631186,0.186362,-0.616906,-1.082276,0.001133,-0.15332,-6.717921
4347,-0.74567,-1.28306,-0.499908,1.184721,-1.061898,-0.556686,0.223177,-0.272001,-7.634981
4471,0.841509,-1.472864,-1.187611,1.504386,-0.58305,-1.315702,0.410897,-0.057097,-8.011904
1669,-1.821517,1.218245,0.65244,-1.11107,-1.38037,0.148849,-0.482679,-0.389385,9.287586
4273,0.271187,0.011521,1.375094,1.644626,0.244161,-1.827677,-0.170511,-0.178991,6.919001
4246,0.728968,-0.441476,-0.705323,-1.757654,0.124414,-1.279063,-0.377303,-0.534008,-2.250118
2836,0.077005,1.135921,0.58502,0.497138,1.268602,-1.228131,-0.294998,0.374649,5.601824
8061,-0.311366,-0.491941,-0.632152,-0.968669,1.823931,1.660392,0.422826,0.033023,-4.402411
1926,0.96631,7.6e-05,1.27515,-0.505557,0.484876,-1.241332,-0.11898,-0.494887,7.692949
3908,-0.906127,1.169426,-1.78171,-0.801856,0.643313,0.060649,0.459936,-0.249287,-0.134329
3254,-1.257259,-0.397214,0.542956,-1.497689,0.030218,-1.065807,0.50841,-0.345003,6.520198
6869,0.732224,1.490895,-1.12667,0.315201,0.860783,-1.738451,-0.424735,0.280372,0.364105
3347,1.273599,-0.176485,0.7291,1.769784,0.165791,0.491012,0.030947,0.520912,0.038882
1569,0.163559,0.666349,-1.079159,-0.388362,-1.477313,-0.570391,0.104807,-0.108475,1.780679
3692,-1.451841,1.541998,-1.785436,0.668242,0.585044,0.904391,-0.056884,0.353389,-2.555946
1954,1.512657,-1.057994,0.962132,1.409906,-1.374217,1.773244,0.562922,0.231646,3.808521
3460,-0.39681,-0.214175,0.630151,1.272377,-1.874162,-1.432386,0.174056,-0.241374,4.080142
6826,0.915088,-1.349544,1.761898,-0.434455,0.426383,-0.383274,0.345827,-0.480513,-4.704026
2131,1.545996,1.327876,-0.262339,1.659343,-1.223998,0.666757,-0.56196,0.340369,7.655435
7737,0.838221,-0.173726,1.866801,-1.646361,0.763052,-0.617107,-0.22235,-0.235665,8.049952
7609,-0.604116,-1.010775,-0.877505,-0.326275,1.521352,1.82847,-0.390768,-0.038947,-4.919056
3590,1.474047,-1.543228,-0.046015,-0.538871,-1.485804,-0.017785,-0.344666,-0.393115,-6.963455
5786,1.422925,-1.212024,-1.652642,0.753662,-0.109034,-0.351091,-0.279546,-0.333506,3.478536
7150,-1.805153,1.038404,1.539716,1.330405,0.778296,-0.765796,-0.079908,-0.215178,9.822567
6883,0.03982,-1.782042,1.169512,-0.330432,-0.497536,-0.432664,0.118532,0.165785,-5.965799
5603,1.395597,-0.592112,0.933646,1.425113,1.636081,-0.12204,-0.093153,0.378443,-4.429584
1075,-1.158676,1.490673,-1.089991,-1.480535,1.835617,-1.742946,-0.470995,0.393357,4.522789
1168,0.875176,-1.106365,-1.483505,0.917672,0.601194,0.899814,-0.546467,0.334671,-2.682739
7750,1.869805,-0.161601,-1.684956,0.523917,-1.034544,-0.747304,0.449716,-0.416805,1.766729
4319,-1.765257,0.52868,-0.16243,-0.543782,-1.075225,1.648559,-0.480361,0.168362,7.225731
2375,0.27697,-0.797716,-1.406533,1.512313,0.709348,1.557405,0.258148,-0.513879,2.998474
4765,0.297013,0.539408,-0.808321,1.315516,-0.650318,-0.923035,-0.085099,0.141519,-3.44622
4041,-1.286817,0.444859,1.012156,1.467894,0.588303,-0.876323,0.219133,0.16822,8.994541
3102,-0.987281,-1.859266,0.115723,-0.321205,0.017854,-1.515274,-0.463287,0.341719,-6.927737
2094,1.349497,1.206311,-0.11135,-1.586817,-1.280706,1.35881,-0.1903,-0.376387,7.846782
7051,-1.451489,-0.087292,-0.626529,-0.703369,0.915581,-0.615507,-0.058082,-0.59132,2.653845
5743,-1.673264,0.997917,-0.339989,0.98405,0.335181,1.134675,-0.477829,-0.479446,9.681703
